time,power_real
00:00:00,0
00:05:00,0
00:10:00,0
00:15:00,0
00:20:00,0
00:25:00,0
00:30:00,0
00:35:00,0
00:40:00,0
00:45:00,0
00:50:00,0
00:55:00,0
01:00:00,0
01:05:00,0
01:10:00,0
01:15:00,0
01:20:00,0
01:25:00,0
01:30:00,0
01:35:00,0
01:40:00,0
01:45:00,0
01:50:00,0
01:55:00,0
02:00:00,0
02:05:00,0
02:10:00,0
02:15:00,0
02:20:00,0
02:25:00,0
02:30:00,0
02:35:00,0
02:40:00,0
02:45:00,0
02:50:00,0
02:55:00,0
03:00:00,0
03:05:00,0
03:10:00,0
03:15:00,0
03:20:00,0
03:25:00,0
03:30:00,0
03:35:00,0
03:40:00,0
03:45:00,0
03:50:00,0
03:55:00,0
04:00:00,0
04:05:00,0
04:10:00,0
04:15:00,0
04:20:00,0
04:25:00,0
04:30:00,0
04:35:00,0
04:40:00,0
04:45:00,0
04:50:00,0
04:55:00,0
05:00:00,0
05:05:00,0
05:10:00,0
05:15:00,0
05:20:00,0
05:25:00,0
05:30:00,0
05:35:00,0
05:40:00,0
05:45:00,0
05:50:00,0
05:55:00,0
06:00:00,0
06:05:00,0
06:10:00,0
06:15:00,0
06:20:00,0
06:25:00,0
06:30:00,0
06:35:00,0
06:40:00,0
06:45:00,100
06:50:00,200
06:55:00,296
07:00:00,581
07:05:00,800
07:10:00,1013
07:15:00,1300
07:20:00,1500
07:25:00,1760
07:30:00,2016
07:35:00,2380
07:40:00,2765
07:45:00,3206
07:50:00,3679
07:55:00,4135
08:00:00,4681
08:05:00,5132
08:10:00,5631
08:15:00,6160
08:20:00,6733
08:25:00,7289
08:30:00,7814
08:35:00,8349
08:40:00,8931
08:45:00,9386
08:50:00,9989
08:55:00,10556
09:00:00,11111
09:05:00,11624
09:10:00,12100
09:15:00,12671
09:20:00,13158
09:25:00,13609
09:30:00,14118
09:35:00,14591
09:40:00,15089
09:45:00,15498
09:50:00,16016
09:55:00,16402
10:00:00,16820
10:05:00,17229
10:10:00,17717
10:15:00,18056
10:20:00,18451
10:25:00,18700
10:30:00,19046
10:35:00,19400
10:40:00,19696
10:45:00,20052
10:50:00,20419
10:55:00,20743
11:00:00,21100
11:05:00,21324
11:10:00,21700
11:15:00,21900
11:20:00,22190
11:25:00,22393
11:30:00,22690
11:35:00,22918
11:40:00,23213
11:45:00,23516
11:50:00,23803
11:55:00,24050
12:00:00,24299
12:05:00,24400
12:10:00,24600
12:15:00,24627
12:20:00,24900
12:25:00,25006
12:30:00,24895
12:35:00,24900
12:40:00,24803
12:45:00,25000
12:50:00,25000
12:55:00,25011
13:00:00,25117
13:05:00,25091
13:10:00,25122
13:15:00,25082
13:20:00,24976
13:25:00,25000
13:30:00,25189
13:35:00,25181
13:40:00,25100
13:45:00,25170
13:50:00,25097
13:55:00,25090
14:00:00,25193
14:05:00,25100
14:10:00,24966
14:15:00,24933
14:20:00,24831
14:25:00,24737
14:30:00,24733
14:35:00,24506
14:40:00,24303
14:45:00,24170
14:50:00,24142
14:55:00,23970
15:00:00,23800
15:05:00,23688
15:10:00,23343
15:15:00,23106
15:20:00,22922
15:25:00,22616
15:30:00,22403
15:35:00,22200
15:40:00,22173
15:45:00,21800
15:50:00,21542
15:55:00,21133
16:00:00,20867
16:05:00,20676
16:10:00,20400
16:15:00,20125
16:20:00,19793
16:25:00,19484
16:30:00,19000
16:35:00,18600
16:40:00,18263
16:45:00,17843
16:50:00,17421
16:55:00,17000
17:00:00,16635
17:05:00,16286
17:10:00,15785
17:15:00,15355
17:20:00,14914
17:25:00,14432
17:30:00,13916
17:35:00,13383
17:40:00,12864
17:45:00,12331
17:50:00,11768
17:55:00,11213
18:00:00,10668
18:05:00,10163
18:10:00,9576
18:15:00,9039
18:20:00,8522
18:25:00,8026
18:30:00,7451
18:35:00,6866
18:40:00,6343
18:45:00,5804
18:50:00,5208
18:55:00,4520
19:00:00,4100
19:05:00,3754
19:10:00,3160
19:15:00,2860
19:20:00,2464
19:25:00,2100
19:30:00,1713
19:35:00,1413
19:40:00,1200
19:45:00,1000
19:50:00,816
19:55:00,700
20:00:00,547
20:05:00,400
20:10:00,300
20:15:00,200
20:20:00,66
20:25:00,0
20:30:00,0
20:35:00,0
20:40:00,0
20:45:00,0
20:50:00,0
20:55:00,0
21:00:00,0
21:05:00,0
21:10:00,0
21:15:00,0
21:20:00,0
21:25:00,0
21:30:00,0
21:35:00,0
21:40:00,0
21:45:00,0
21:50:00,0
21:55:00,0
22:00:00,0
22:05:00,0
22:10:00,0
22:15:00,0
22:20:00,0
22:25:00,0
22:30:00,0
22:35:00,0
22:40:00,0
22:45:00,0
22:50:00,0
22:55:00,0
23:00:00,0
23:05:00,0
23:10:00,0
23:15:00,0
23:20:00,0
23:25:00,0
23:30:00,0
23:35:00,0
23:40:00,0
23:45:00,0
23:50:00,0
23:55:00,0
